name                            ,protocol,OI   ,OS   ,OD   ,I  ,S  ,D  ,TP     ,FP     ,UP,TN     ,FN     ,UN
8eb33ec7f4540411cca40d5240dc1487,UDP     ,41   ,8    ,1    ,41 ,8  ,1  ,1239184,8      ,0 ,3135258,0      ,12
8f2fe83cc03b36fb880fb6c13bfb2518,TCP     ,22911,19330,1    ,926,1  ,1  ,8376156,510138 ,22,972285 ,351    ,0
9138ab0055963f033fd015cea2ef1bc6,UDP     ,8    ,1    ,280  ,8  ,1  ,280,1105645,64     ,0 ,3135202,0      ,30
914fac6f580cece4a4f39e056d94e272,TCP     ,16087,14215,1    ,352,374,1  ,8099805,399035 ,17,1016165,0      ,2
91584f010207de9720454193e315d02f,TCP     ,7976 ,7483 ,1    ,707,191,1  ,8805988,408462 ,18,1142747,0      ,4
915c470676ed79290c9f021114647421,TCP     ,2    ,1    ,1    ,2  ,1  ,1  ,8060872,14538  ,0 ,1367206,23577  ,30
91c92016c671a6b466e3e3ea2fe76332,TCP     ,13102,11887,1    ,149,660,1  ,8478429,440741 ,24,990190 ,0      ,1
921a0d65f7cb7b321862f7787d4986d6,UDP     ,13   ,1    ,13   ,13 ,1  ,13 ,4232486,0      ,0 ,2661405,0      ,14
948922a24621857f60ff55f0b92d225f,UDP     ,8    ,1    ,8    ,8  ,1  ,8  ,2345166,4      ,0 ,2370356,270847 ,13
94e9a2940ddd082e6e3fdc84ead74ef0,TCP     ,26779,21906,1    ,773,57 ,1  ,8773177,440378 ,34,1085116,306    ,1
95120088fead57b6620bba06ee0ba5ca,UDP     ,5    ,1    ,170  ,5  ,1  ,170,1333639,216    ,0 ,3135050,0      ,31
955a5cd15843aa5c4155fd3f69651e15,TCP     ,2    ,1    ,1    ,2  ,1  ,1  ,6583469,11326  ,0 ,1045307,40391  ,3
956b0d4feeafbdb4d125effbaec29cfd,TCP     ,1906 ,2047 ,1    ,978,14 ,1  ,7773908,72792  ,0 ,1824839,11571  ,10
9647a3a2d057b7cfe984b0449480369f,TCP     ,34939,27039,1    ,585,1  ,1  ,7200074,448807 ,34,855456 ,0      ,1
967a3709db351926be99ddc0f7d4697a,UDP     ,11   ,1    ,239  ,11 ,1  ,239,1489780,64     ,0 ,3135202,0      ,22
97fd9c08bd2d121abbe4d9d7e85a9fab,UDP     ,7    ,1    ,7    ,7  ,1  ,7  ,3001972,4      ,0 ,3116976,523659 ,15
983d0d3be373f51f249d1c0144c552ed,UDP     ,1099 ,9    ,1    ,968,9  ,1  ,2432180,0      ,0 ,3095437,40191  ,26
998217264ab3fbdc001bb5d473e59173,TCP     ,12714,11596,1    ,149,658,1  ,8527413,512471 ,5 ,964875 ,0      ,4
9a50bc868171124750e83105352aa103,TCP     ,18698,16250,1    ,341,255,1  ,8522072,421759 ,5 ,1076883,476    ,18
9ae4af2b74c64e5243e5ef791c9894ff,UDP     ,14   ,1    ,488  ,14 ,1  ,488,0      ,0      ,0 ,0      ,0      ,0
9b87222053c383934c1347e45f383701,UDP     ,18   ,1    ,327  ,18 ,1  ,327,0      ,0      ,0 ,0      ,0      ,0
9c436570b69e98e36fcff55f51b7db02,UDP     ,35   ,1    ,35   ,35 ,1  ,35 ,3245575,0      ,0 ,3082341,0      ,28
9ec938d83a145c111e4dc96438f7d903,TCP     ,5962 ,5673 ,1    ,973,12 ,1  ,8775883,350678 ,6 ,1160281,0      ,15
9f1663cd07e5a4f00c9cc8c9b81a1945,TCP     ,7039 ,6712 ,1    ,840,25 ,1  ,8749339,378725 ,0 ,1147117,1293   ,11
9f2d134c9d1f77d377420946b382ca9c,UDP     ,15   ,1    ,336  ,15 ,1  ,336,0      ,0      ,0 ,0      ,0      ,0
a3644f57a18ccb958a3d64f96e943828,UDP     ,10   ,1    ,302  ,10 ,1  ,302,1089929,67     ,0 ,3135199,0      ,33
a3bbaba745fbded23fc3217df906cff5,UDP     ,6    ,1    ,101  ,6  ,1  ,101,1572467,44     ,0 ,3135222,0      ,31
a3d5d0f2572b7fb2a02abca870483b31,TCP     ,11084,10180,1    ,143,813,1  ,8469423,491028 ,5 ,932159 ,0      ,20
a3e78a6e687223edf712320712686ab2,UDP     ,27   ,1    ,27   ,27 ,1  ,27 ,3643021,11     ,0 ,3103788,73738  ,28
a5554cdb360aa6c386bae7656fc8a26c,TCP     ,719  ,21050,1    ,595,53 ,1  ,0      ,0      ,0 ,0      ,0      ,0
a5b44e6c2ef7bebaf6b1d1d9e069ecac,TCP     ,31780,25188,1    ,657,12 ,1  ,8360440,434271 ,6 ,1049124,267    ,19
a60c98fd7a78dfdcded33d10dd889e2e,UDP     ,8    ,1    ,124  ,8  ,1  ,124,3301442,40     ,0 ,3084252,0      ,27
a89b7e2b2c68423fb5a2cd59bb938ea8,UDP     ,153  ,1    ,985  ,153,1  ,787,1110946,297439 ,0 ,2837827,0      ,31
a8fa7478dc84619cc3ff106a04363c00,UDP     ,168  ,1    ,986  ,168,1  ,777,1148160,288549 ,0 ,2846717,0      ,34
aa4011f67afcc6a316c24436d1d5a9b0,TCP     ,12259,11162,1    ,160,746,1  ,8191558,503688 ,5 ,953451 ,0      ,19
aa55c194d1ddc55231c1862ef6c54971,TCP     ,23791,19987,1    ,876,90 ,1  ,8633085,437157 ,6 ,1097999,0      ,22
ab36cf8007f4a0ca03195d92db11d846,TCP     ,19254,16700,1    ,290,211,1  ,8575907,435302 ,5 ,1099237,425    ,27
abdc10fabdb343768c96dc3e3d30372a,UDP     ,15   ,1    ,640  ,15 ,1  ,640,0      ,0      ,0 ,0      ,0      ,0
acc4394329ad248f5e77c165804a0bc6,UDP     ,4    ,1    ,98   ,4  ,1  ,98 ,1591222,47     ,0 ,3135219,0      ,34
