name                            ,protocol,OI   ,OS   ,OD   ,I  ,S  ,D  ,TP     ,FP    ,UP,TN     ,FN     ,UN
8a97b302d5a323de03cf4016c2f76bbe,TCP     ,16177,14328,1    ,380,396,1  ,7832690,11518 ,13,1332129,1478   ,10
8b306430e7e44749438a7a76c8f49137,TCP     ,30716,24482,1    ,653,46 ,1  ,8801667,13386 ,5 ,1538169,0      ,24
8b5ee8f1ee04cc454040cbe9137806c0,TCP     ,5919 ,5682 ,1    ,974,10 ,1  ,0      ,0     ,0 ,0      ,0      ,0
8d031b0dcaa77b2cd4d015ced7b3cfe1,TCP     ,5856 ,5594 ,1    ,962,25 ,1  ,8136390,9920  ,0 ,1394415,0      ,28
8da6cac139ae8bb3a3fef80a7dfbf099,TCP     ,18751,16403,1    ,304,248,1  ,7793377,12030 ,0 ,1355997,1228   ,4
8e4c9e0a6e37b2eb954a868db67b6b4d,UDP     ,7    ,1    ,241  ,7  ,1  ,241,1541246,0     ,0 ,3135266,0      ,5
8eb33ec7f4540411cca40d5240dc1487,UDP     ,41   ,8    ,1    ,41 ,8  ,1  ,1239184,0     ,0 ,3135266,0      ,9
8f2fe83cc03b36fb880fb6c13bfb2518,TCP     ,22911,19330,1    ,926,1  ,1  ,7507469,11245 ,0 ,1308665,325    ,11
9138ab0055963f033fd015cea2ef1bc6,UDP     ,8    ,1    ,280  ,8  ,1  ,280,1105645,0     ,0 ,3135266,0      ,9
914fac6f580cece4a4f39e056d94e272,TCP     ,16087,14215,1    ,352,374,1  ,6839346,10189 ,0 ,1190817,397    ,7
91584f010207de9720454193e315d02f,TCP     ,7976 ,7483 ,1    ,707,191,1  ,8407627,10749 ,0 ,1443535,0      ,2
915c470676ed79290c9f021114647421,TCP     ,2    ,1    ,1    ,2  ,1  ,1  ,7451066,0     ,0 ,1200097,22000  ,15
91c92016c671a6b466e3e3ea2fe76332,TCP     ,13102,11887,1    ,149,660,1  ,8776049,13352 ,1 ,1499449,0      ,13
921a0d65f7cb7b321862f7787d4986d6,UDP     ,13   ,1    ,13   ,13 ,1  ,13 ,2595695,0     ,0 ,1637616,0      ,31
948922a24621857f60ff55f0b92d225f,UDP     ,8    ,1    ,8    ,8  ,1  ,8  ,3098640,0     ,0 ,3135266,357534 ,21
94e9a2940ddd082e6e3fdc84ead74ef0,TCP     ,26779,21906,1    ,773,57 ,1  ,6975332,10790 ,5 ,1223726,507    ,6
95120088fead57b6620bba06ee0ba5ca,UDP     ,5    ,1    ,170  ,5  ,1  ,170,1333639,0     ,0 ,3135264,0      ,21
955a5cd15843aa5c4155fd3f69651e15,TCP     ,2    ,1    ,1    ,2  ,1  ,1  ,6199898,0     ,0 ,1039478,38120  ,15
956b0d4feeafbdb4d125effbaec29cfd,TCP     ,1906 ,2047 ,1    ,978,14 ,1  ,2119681,3923  ,0 ,1992721,6075204,11
9647a3a2d057b7cfe984b0449480369f,TCP     ,34939,27039,1    ,585,1  ,1  ,8186099,12429 ,0 ,1420703,0      ,5
967a3709db351926be99ddc0f7d4697a,UDP     ,11   ,1    ,239  ,11 ,1  ,239,1489780,0     ,0 ,3135266,0      ,19
97fd9c08bd2d121abbe4d9d7e85a9fab,UDP     ,7    ,1    ,7    ,7  ,1  ,7  ,2763133,0     ,0 ,2864160,482369 ,12
983d0d3be373f51f249d1c0144c552ed,UDP     ,1099 ,9    ,1    ,968,9  ,1  ,2424931,0     ,0 ,3092079,44728  ,25
998217264ab3fbdc001bb5d473e59173,TCP     ,12714,11596,1    ,149,658,1  ,8476737,13093 ,0 ,1442359,1294   ,6
9a50bc868171124750e83105352aa103,TCP     ,18698,16250,1    ,341,255,1  ,8639042,13323 ,0 ,1508112,910    ,4
9ae4af2b74c64e5243e5ef791c9894ff,UDP     ,14   ,1    ,488  ,14 ,1  ,488,0      ,0     ,0 ,0      ,0      ,0
9b87222053c383934c1347e45f383701,UDP     ,18   ,1    ,327  ,18 ,1  ,327,1529496,0     ,0 ,3135266,12888  ,16
9c436570b69e98e36fcff55f51b7db02,UDP     ,35   ,1    ,35   ,35 ,1  ,35 ,2746798,0     ,0 ,2607114,0      ,7
9ec938d83a145c111e4dc96438f7d903,TCP     ,5962 ,5673 ,1    ,973,12 ,1  ,8281987,10456 ,0 ,1433873,0      ,11
9f1663cd07e5a4f00c9cc8c9b81a1945,TCP     ,7039 ,6712 ,1    ,840,25 ,1  ,8523131,11743 ,0 ,1429263,2477   ,2
9f2d134c9d1f77d377420946b382ca9c,UDP     ,15   ,1    ,336  ,15 ,1  ,336,934107 ,0     ,0 ,3135266,0      ,6
a3644f57a18ccb958a3d64f96e943828,UDP     ,10   ,1    ,302  ,10 ,1  ,302,1089929,0     ,0 ,3135266,0      ,21
