name                            ,protocol,src_ips,src_ports,dst_ports,TP     ,FP,UP,TN    ,FN     ,UN
bf6bf159d7237d3dfcb9ff0d68764079,UDP     ,15     ,1        ,219      ,1348998,0 ,0 ,482931,5516   ,5
c093f324dc7908241b9be60bb8b58473,UDP     ,17     ,1        ,356      ,937323 ,0 ,0 ,493107,2460   ,4
c0b5dac5f4d53a8d750873ed35671149,TCP     ,2      ,2        ,1        ,686    ,0 ,0 ,250991,3847594,1
c10abd75258803ae46144e1f206b93f5,UDP     ,7      ,1        ,7        ,836744 ,0 ,0 ,493107,182562 ,3
c5197a2b7c5e37eca2b4e9e23efa95e7,UDP     ,2      ,1        ,30       ,556244 ,0 ,0 ,493107,18542  ,2
c75d925b98e7fe29adeb6e3f5983817f,UDP     ,32     ,1        ,32       ,1573639,0 ,0 ,493107,0      ,1
c7d18456b0f108530600b1e8357ec665,TCP     ,3      ,1        ,1        ,2713167,0 ,0 ,162422,9      ,2
c8b2ee81d5d417e9bb9e23d520c477ee,UDP     ,2      ,1        ,32       ,1977167,0 ,0 ,493107,0      ,1
c96af6d9988bd4386a7db24d5fd3d32c,TCP     ,164    ,5974     ,1        ,0      ,0 ,0 ,0     ,0      ,0
c9920708d88e92d87dc53a4f2ee9908a,UDP     ,7      ,1        ,7        ,1874032,0 ,0 ,439059,292878 ,1
ca59a133cf73ea743908aa207a074dd4,TCP     ,389    ,3966     ,1        ,0      ,0 ,0 ,0     ,0      ,0
cc8a3617866a4ad112ac2e7315a92e3d,UDP     ,5      ,1        ,122      ,1369961,0 ,0 ,493107,11229  ,4
cd308b6eabf0d0d84028e8f6d812ec27,UDP     ,12     ,1        ,12       ,1656856,0 ,0 ,201326,93865  ,1
cfb5e3087834c5a423727f1ae9ca47e7,UDP     ,59     ,4        ,1        ,184552 ,0 ,0 ,493107,530171 ,1
d0a8baa3a49351a64abe15bacfcbfd4c,UDP     ,13     ,1        ,94       ,1151926,0 ,0 ,493107,0      ,1
d3d5d8c57ffd4dd8bbf51cdf0f46e5ef,UDP     ,9      ,1        ,211      ,711782 ,0 ,0 ,493107,7641   ,4
d442035488dd227043575c4008fb4aba,UDP     ,7      ,1        ,7        ,1297334,0 ,0 ,319788,360888 ,5
d5fc48e54ce98252f2c748728c34a25a,UDP     ,20     ,1        ,437      ,649087 ,0 ,0 ,493107,2556   ,14
d73d0246981dde6351ef6e9d3085dab5,UDP     ,114    ,1        ,114      ,1537011,0 ,0 ,375633,25441  ,10
d7402eceef0df214a61e9e31a20097c9,UDP     ,26     ,1        ,325      ,735973 ,0 ,0 ,493107,9999   ,2
d8ecc4556c6300355248ce2df77c49d3,UDP     ,2      ,1        ,76       ,1370774,0 ,0 ,493107,14816  ,1
d9103c17cf563a8a40d3ec0dfff0fcb7,UDP     ,7      ,1        ,170      ,973257 ,0 ,0 ,493107,14796  ,4
d96e85c5f1b3b208c4f53b95abb4aa4a,UDP     ,6      ,1        ,142      ,1128845,0 ,0 ,493107,14916  ,3
da27a3365d19888db6a6e3be0b29e669,UDP     ,18     ,1        ,485      ,1052085,0 ,0 ,493107,5813   ,1
dab83f654d29e7c10216de01367e73b2,TCP     ,3      ,3        ,1        ,891    ,0 ,0 ,221860,3342827,4
dd970144d10760adef141d956a60d401,UDP     ,55     ,5        ,1        ,144726 ,0 ,0 ,493107,550058 ,1
e1a41a64f56779841448b722ad95cbbf,UDP     ,20     ,1        ,318      ,654651 ,0 ,0 ,493107,1892   ,15
e4ed2d7237e72181e0185f1d46e022de,UDP     ,6      ,1        ,229      ,1079174,0 ,0 ,493107,7469   ,3
e6c3668c7cd00f4b287b6fc92a0afcb9,UDP     ,7      ,1        ,275      ,695840 ,0 ,0 ,493107,4376   ,26
e75f94a6a5b6afb05b20872800a6db97,UDP     ,115    ,15       ,1        ,63211  ,0 ,0 ,493107,643137 ,1
e80b7c70e4932c8e5e5d98a3269e06fe,UDP     ,6      ,1        ,6        ,1094190,0 ,0 ,142654,342470 ,3
